bhk,type,area,region,status,age,final_price_lakhs
3,0,6.981934677156389,195,1,0,319.0
2,0,6.577861357721047,195,1,0,212.0
3,0,6.981934677156389,195,1,0,319.0
2,0,6.63200177739563,195,1,0,224.00000000000003
2,0,6.577861357721047,195,1,0,212.0
3,0,6.899723107284872,195,1,0,294.0
2,0,6.63200177739563,195,1,0,224.00000000000003
3,0,6.899723107284872,195,1,0,294.0
2,0,6.428105272684596,195,1,0,182.0
2,0,6.428105272684596,195,1,0,182.0
3,0,6.9411900550683745,195,1,0,306.0
3,0,6.9411900550683745,195,1,0,306.0
3,0,6.81783057145415,195,1,0,270.0
3,0,6.81783057145415,195,1,0,270.0
3,0,6.7650389767805414,195,1,0,257.0
3,0,6.7650389767805414,195,1,0,257.0
2,0,6.333279628139691,195,1,0,170.0
2,0,6.333279628139691,195,1,0,170.0
3,0,6.855408798609928,195,1,0,281.0
3,0,6.855408798609928,195,1,0,281.0
